國語注音符號第一式,威妥瑪拼音,國語注音符號第二式,華語通用拼音,漢語拼音方案
ㄋㄨㄥ,nung,nung,nong,nong
ㄋㄩ,nü,niu,nyu,nü
ㄋㄩㄝ,nüeh,niue,nyue,nüe
ㄌㄚ,la,la,la,la
ㄌㄛ,lo,lo,lo,lo
ㄌㄜ,lê,le,le,le
ㄌㄞ,lai,lai,lai,lai
ㄌㄟ,lei,lei,lei,lei
ㄌㄠ,lao,lau,lao,lao
ㄌㄡ,lou,lou,lou,lou
ㄌㄢ,lan,lan,lan,lan
ㄌㄤ,lang,lang,lang,lang
ㄌㄥ,lêng,leng,leng,leng
ㄌㄧ,li,li,li,li
ㄌㄧㄚ,lia,lia,lia,lia
ㄌㄧㄝ,lieh,lie,lie,lie
ㄌㄧㄠ,liao,liau,liao,liao
ㄌㄧㄡ,liu,liou,liou,liu
ㄌㄧㄢ,lien,lian,lian,lian
ㄌㄧㄣ,lin,lin,lin,lin
ㄌㄧㄤ,liang,liang,liang,liang
ㄌㄧㄥ,ling,ling,ling,ling
ㄌㄨ,lu,lu,lu,lu
ㄌㄨㄛ,lo,luo,luo,luo
ㄌㄨㄢ,luan,luan,luan,luan
ㄌㄨㄣ,lun,luen,lun,lun
ㄌㄨㄥ,lung,lung,long,long
ㄌㄩ,lü,liu,lyu,lü
ㄌㄩㄝ,lüeh,liue,lyue,lüe
ㄌㄩㄢ,lüan,liuan,lyuan,lüan
ㄌㄩㄣ,lün,liun,lyun,lün
ㄍㄚ,ka,ga,ga,ga
ㄍㄜ,kê,ge,ge,ge
ㄍㄞ,kai,gai,gai,gai
ㄍㄟ,kei,gei,gei,gei
ㄍㄠ,kao,gau,gao,gao
ㄍㄡ,kou,gou,gou,gou
ㄍㄢ,kan,gan,gan,gan
ㄍㄣ,kên,gen,gen,gen
ㄍㄤ,kang,gang,gang,gang
ㄍㄥ,kêng,geng,geng,geng
ㄍㄨ,ku,gu,gu,gu
